FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7202,6152798,POINT (16.331366840905794 48.22913639894482),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7201,6152799,POINT (16.355859793235286 48.203674416076986),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-7200,6152800,POINT (16.314194437687284 48.19898707561019),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ff,6152801,POINT (16.32705808462293 48.20356732019741),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fe,6152802,POINT (16.294834696477242 48.176503596858645),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fd,6152803,POINT (16.222621283368436 48.153240719525684),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fc,6152804,POINT (16.324149856901673 48.2106635754911),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fb,6152805,POINT (16.38527085220668 48.21886151965273),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71fa,6152806,POINT (16.38462842720166 48.15078156166787),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f9,6152807,POINT (16.338892090608137 48.25726471310871),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f8,6152808,POINT (16.30281097351268 48.22794450776511),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f7,6152809,POINT (16.33943604212277 48.2358368022553),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f6,6152810,POINT (16.326030443577785 48.20231798965214),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f5,6152811,POINT (16.34693492351552 48.224718801003625),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f4,6152812,POINT (16.339749524661713 48.209549572148276),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f3,6152813,POINT (16.32285458603433 48.21092403412391),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f2,6152814,POINT (16.353129476094736 48.18666611460593),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f1,6152815,POINT (16.34393216104094 48.22333338954065),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71f0,6152816,POINT (16.365603882669582 48.18737375467125),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ef,6152817,POINT (16.340661702624946 48.222497055531306),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ee,6152818,POINT (16.330721397906828 48.212934189166305),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ed,6152819,POINT (16.33507651597267 48.191696353814265),Trinkhydrant,10,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71ec,6152820,POINT (16.374552459156735 48.21589250934413),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-71eb,6152821,POINT (16.46609945448754 48.15448590800977),Trinkhydrant,10,
